epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,124.819,2.1085,2.36969,2.40013,0.493,0.54968,0.47463,0.14722,2.16695,3.44842,2.49399,0.0670786,0.00033254,0.00033254
2,246.101,2.02914,2.19907,2.34696,0.53941,0.54603,0.47102,0.17583,2.0519,2.37291,2.45712,0.0340742,0.000661478,0.000661478
3,370.134,2.00832,2.16252,2.32085,0.50212,0.54886,0.48338,0.18013,1.98311,2.02924,2.35167,0.00106538,0.000986017,0.000986017
4,493.979,1.98695,2.1237,2.34433,0.63366,0.65725,0.62562,0.22075,2.09664,1.70654,2.51677,0.0009802,0.0009802,0.0009802
5,620.356,1.9595,2.05318,2.2995,0.65325,0.64494,0.637,0.25835,2.03596,1.73523,2.4048,0.0009736,0.0009736,0.0009736
6,748.779,1.95388,1.99165,2.27433,0.67091,0.68049,0.66856,0.26889,2.07312,1.56575,2.43074,0.000967,0.000967,0.000967
7,877.16,1.93794,1.98325,2.27452,0.64905,0.67958,0.64113,0.25636,2.05834,1.60745,2.36694,0.0009604,0.0009604,0.0009604
8,1003.33,1.8736,1.97605,2.20868,0.70421,0.63856,0.66517,0.2855,1.99135,1.56658,2.34043,0.0009538,0.0009538,0.0009538
9,1126.97,1.87777,1.85968,2.22069,0.67933,0.67502,0.67857,0.3124,1.85824,1.52715,2.22365,0.0009472,0.0009472,0.0009472
10,1252.28,1.8723,1.91581,2.20125,0.66356,0.69872,0.66727,0.27715,2.04125,1.54021,2.40645,0.0009406,0.0009406,0.0009406
11,1375.12,1.83324,1.84208,2.16664,0.71197,0.74339,0.73352,0.32706,1.90229,1.41812,2.2614,0.000934,0.000934,0.000934
12,1498.6,1.83596,1.84954,2.16844,0.69051,0.74947,0.71694,0.29472,1.989,1.47815,2.33683,0.0009274,0.0009274,0.0009274
13,1621.97,1.81766,1.8655,2.16458,0.70831,0.76147,0.74007,0.31365,1.91071,1.47315,2.27383,0.0009208,0.0009208,0.0009208
14,1745.24,1.85278,1.83988,2.18973,0.71697,0.76162,0.7407,0.32974,1.8764,1.40145,2.22702,0.0009142,0.0009142,0.0009142
15,1868.38,1.80737,1.78595,2.13089,0.71223,0.75806,0.74015,0.35488,1.8169,1.36013,2.17195,0.0009076,0.0009076,0.0009076
16,1991.7,1.79711,1.78706,2.12478,0.71279,0.78396,0.76348,0.34563,1.89247,1.36506,2.22187,0.000901,0.000901,0.000901
17,2114.58,1.75324,1.73382,2.09134,0.73226,0.76026,0.76637,0.37871,1.76346,1.36568,2.12417,0.0008944,0.0008944,0.0008944
18,2239.63,1.76572,1.70253,2.11003,0.72706,0.80173,0.78778,0.36804,1.80443,1.34488,2.18068,0.0008878,0.0008878,0.0008878
19,2362.92,1.76457,1.73738,2.08576,0.72138,0.79125,0.78346,0.37479,1.78549,1.32408,2.14521,0.0008812,0.0008812,0.0008812
20,2484.85,1.74159,1.70103,2.07534,0.72726,0.79216,0.77688,0.34794,1.9462,1.29067,2.26936,0.0008746,0.0008746,0.0008746
21,2606.85,1.76481,1.70315,2.08718,0.72906,0.77438,0.77811,0.30211,2.05608,1.35923,2.32084,0.000868,0.000868,0.000868
22,2732.73,1.74041,1.67309,2.07506,0.75701,0.77105,0.7909,0.35011,1.92414,1.35834,2.26821,0.0008614,0.0008614,0.0008614
23,2862.41,1.73005,1.69636,2.06378,0.75732,0.78512,0.79807,0.37037,1.819,1.29861,2.17806,0.0008548,0.0008548,0.0008548
